date,OilRmb,SZ399001,SG000001,HS000300,CI005001,CI005002,CI005003,CI005005
12/31/2004,301.512895,3067.57,1266.5,1000,1000,1000,1000,1000
1/4/2005,302.671605,3025.42,1242.77,982.794,972.6953,971.6588,974.9029,976.2269
1/5/2005,308.21686,3052.86,1251.94,992.564,972.4125,976.6908,988.5014,983.7726
1/6/2005,316.079535,3028.73,1239.43,983.174,953.4392,957.3087,965.229,969.9842
1/7/2005,325.680275,3035.59,1244.75,983.958,954.5805,920.7459,963.1241,969.1005
1/10/2005,332.05318,3062.73,1252.4,993.879,943.7885,928.6835,970.7866,977.4942
1/11/2005,326.507925,3069.57,1257.46,997.135,942.1652,917.3293,975.8264,981.5294
1/12/2005,329.487465,3064.34,1256.92,996.748,932.4711,920.8056,981.4355,983.5951
1/13/2005,339.99862,3074.37,1256.31,996.877,921.5385,936.1786,979.6744,984.7095
1/14/2005,345.9577,3055.52,1245.62,988.306,910.481,927.296,966.9333,979.6081
1/17/2005,346.040465,2999.02,1216.65,967.452,881.6255,909.152,938.1342,961.4942
1/18/2005,347.364705,3022.41,1225.45,974.689,875.3784,911.0617,954.1408,975.9099
1/19/2005,343.64028,3001.25,1218.11,967.21,873.0527,885.3358,946.9771,969.6056
1/20/2005,336.68802,2969.12,1204.39,956.245,869.3244,869.342,934.3834,961.6072
1/21/2005,344.550695,3055.81,1234.48,982.604,892.1555,907.9525,956.7973,993.6311
1/24/2005,351.668485,3111.4,1255.78,998.133,907.6426,925.833,975.1988,1009.2806
1/25/2005,353.24102,3141.86,1254.23,997.775,907.3847,940.385,971.9802,1007.6447
1/26/2005,356.71715,3122.62,1241.96,989.928,900.9541,929.5967,965.229,1004.3357
1/27/2005,355.972265,3070.58,1225.89,974.631,887.3796,908.2008,951.9601,993.2441
1/28/2005,346.61982,3065.61,1213.67,969.209,879.6478,906.3455,940.0376,990.9718
1/31/2005,338.922675,3045.48,1191.82,954.879,860.3104,904.7551,919.2552,984.1788
2/1/2005,341.65392,3066.23,1188.93,955.951,850.2191,912.0776,908.3223,990.3701
2/2/2005,336.19143,3221.21,1252.5,1006.91,900.2054,971.4291,959.0373,1040.0758
2/3/2005,332.632535,3196.55,1242.31,993.215,898.7179,956.8492,943.3607,1027.5594
2/4/2005,337.101845,3266.01,1269,1016.86,915.5749,972.5169,961.3809,1057.4465
2/16/2005,346.537055,3283.88,1278.88,1023.58,925.2634,980.0485,973.5956,1065.9382
2/17/2005,352.24784,3264.34,1276.13,1020.61,921.6643,973.1949,974.7263,1055.9603
2/18/2005,353.24102,3233.57,1258.97,1006.06,914.5597,974.1718,963.8457,1034.3313
2/21/2005,356.88268,3298.47,1284.48,1025.63,934.8204,989.1225,993.5478,1054.7196
2/22/2005,366.48342,3382.98,1309.28,1046.74,952.394,1005.8095,1025.2988,1074.5835
2/23/2005,370.12508,3383.06,1309.48,1043.94,956.1903,1005.1359,1030.2196,1065.995
2/24/2005,374.42886,3379.5,1309.95,1045.46,954.1549,1008.4489,1037.4937,1065.9422
2/25/2005,376.497985,3385.45,1312.45,1046.76,957.1759,1024.0119,1037.858,1066.8596
2/28/2005,382.87089,3376.32,1306,1039.99,963.2463,1023.0616,1048.9616,1057.2122
3/1/2005,382.126005,3348.45,1303.41,1035.93,966.6228,1011.1085,1055.7489,1050.6817
3/2/2005,389.078265,3301.76,1287.45,1021.32,955.3323,1000.026,1026.1771,1016.077
3/3/2005,400.25154,3334.46,1294.34,1027.71,960.6094,1004.6673,1037.4225,1032.95
3/4/2005,400.334305,3332.15,1287.71,1023.67,954.5784,982.9807,1026.2547,1026.4946
3/7/2005,398.513475,3368.67,1293.74,1029.87,963.3352,978.0359,1030.0167,1032.4048
3/8/2005,405.631265,3451.82,1318.27,1048.99,974.6067,1001.3958,1062.0209,1046.0635
3/9/2005,412.749055,3464.66,1316.79,1046.54,976.6896,991.4112,1067.6384,1046.4761
3/10/2005,408.8591,3373.54,1286.23,1022.41,953.3682,962.1714,1033.4256,1017.2938
3/11/2005,407.2038,3408.84,1289.94,1027.43,952.0064,965.5213,1053.8283,1013.7995
3/14/2005,410.431635,3420.55,1293.5,1031.03,950.3726,991.1286,1063.3191,1021.8249
3/15/2005,415.563065,3366.68,1269.14,1013.52,928.788,970.7657,1040.5069,1009.8838
3/16/2005,420.28067,3341.12,1255.59,1003.07,922.8079,950.6262,1022.5017,997.8045
3/17/2005,428.39164,3296.17,1243.48,992.863,919.4276,946.4009,1011.2393,983.2444
3/18/2005,427.646755,3255.28,1227.4,978.665,911.697,907.0706,992.473,976.9765
3/21/2005,428.39164,3276.52,1231.05,981.893,918.1743,904.2387,1000.1271,987.8533
3/22/2005,422.349795,3249.5,1206.92,964.024,906.2561,910.6127,969.0405,966.2995
3/23/2005,406.293385,3220.07,1201.65,959.01,898.2825,913.2793,976.4828,951.9582
3/24/2005,414.81818,3214.98,1208.19,964.801,900.0894,910.7441,986.1169,968.5395
3/28/2005,407.70039,3213.31,1200.11,960.696,893.052,912.635,974.5302,966.8163
3/29/2005,405.87956,3208.44,1195.02,955.19,888.7749,910.5618,961.6703,969.1879
3/30/2005,403.8932,3137.46,1172.57,937.034,872.6109,906.7069,925.3524,959.4366
3/31/2005,415.728595,3170.35,1181.24,942.203,883.7471,912.9462,931.665,954.4466
4/1/2005,427.481225,3284.95,1223.57,978.145,918.0765,956.5229,978.372,993.3647
4/4/2005,438.075145,3244.26,1202.97,962.168,904.207,948.8653,962.2294,975.4453
4/5/2005,432.612655,3244.93,1191.75,955.598,899.6858,951.5127,962.4318,957.8186
4/6/2005,431.20565,3312.64,1214.87,973.668,922.1997,983.7143,988.6318,950.8621
4/7/2005,429.136525,3343.77,1225.49,984.733,921.1787,978.2451,996.2549,955.8704
4/8/2005,413.32841,3397.32,1248.52,1003.45,936.2762,1006.5503,1018.6342,964.2968
4/11/2005,406.70721,3357.03,1240.97,995.421,926.7812,992.3259,1015.6408,955.8925
4/12/2005,409.107395,3310.81,1219.51,978.697,909.2185,978.3182,997.4674,950.1491
4/13/2005,395.94776,3371.49,1248.2,1000.9,930.0231,999.3721,1024.6827,971.3622
4/14/2005,393.13375,3324.93,1234.33,986.975,924.8372,982.2752,1003.6163,967.7107
4/15/2005,389.65762,3304.31,1216.96,974.082,908.1179,966.6441,985.2643,955.4208
4/18/2005,385.02278,3261.32,1197.74,963.772,890.6925,962.1027,972.067,944.6085
4/19/2005,394.871815,3267.54,1199.9,965.886,886.6738,959.2689,973.2584,946.7663
4/20/2005,405.71403,3222.53,1184.19,950.867,885.7095,951.3878,957.3668,947.7188
4/21/2005,407.617625,3207.56,1172.56,943.981,880.9908,964.0934,948.9304,926.3374
4/22/2005,418.873665,3176.92,1169.19,939.101,872.2691,967.7347,931.5779,918.4698
4/25/2005,415.232005,3160.62,1157.97,930.07,866.0805,940.6239,913.6459,895.3174
4/26/2005,412.99735,3180.19,1165.34,937.083,867.8683,927.0381,922.6339,893.8065
4/27/2005,404.55532,3163.01,1148.76,926.604,860.7428,924.5157,909.7726,856.5501
4/28/2005,397.520295,3204.73,1169.12,942.073,874.224,941.1452,935.6912,863.0106
4/29/2005,396.44435,3156.67,1159.15,932.395,866.9491,926.763,915.582,857.699
5/9/2005,395.78223,3031.5,1130.84,909.174,845.602,911.7752,883.5204,840.1652
5/10/2005,398.59624,3067.98,1135.56,913.076,858.8585,907.9027,879.038,848.0007
5/11/2005,392.223335,3000.6,1124.27,901.851,847.6581,901.99,864.3575,840.8709
5/12/2005,379.643055,2930.79,1103.99,885.82,829.6376,892.0705,852.8749,817.4083
5/13/2005,376.91181,2921.5,1107.63,887.543,828.8009,898.2167,857.4809,822.7388
5/16/2005,376.332455,2889.02,1095.47,875.271,829.16,839.9084,819.8554,808.7193
5/17/2005,377.4084,2903.99,1099.64,881.462,821.2178,829.2402,828.2162,817.8853
